the curious chicken near the playground ate the curious penguin .       the curious penguin was eaten by the curious chicken near the playground .
a cow in the stadium complimented a big penguin .       a big penguin was complimented by a cow in the stadium .
a goofy fish at a barn stalked a goofy rabbit . a goofy rabbit was stalked by a goofy fish at a barn .
the happy pig hated a big fish by a field .     a big fish by a field was hated by the happy pig .
a teacher hated the cow .       the cow was hated by a teacher .
the happy student disliked a bear .     a bear was disliked by the happy student .
the tiny researcher near the supermarket complimented a doctor .        a doctor was complimented by the tiny researcher near the supermarket .
the shy sheep hunted a crocodile .      a crocodile was hunted by the shy sheep .
a happy rabbit tapped the goofy cow .   the goofy cow was tapped by a happy rabbit .
a fish stalked the curious teacher .    the curious teacher was stalked by a fish .
a curious rabbit kicked the cow .       the cow was kicked by a curious rabbit .
the tiny scientist loved a sleepy scientist .   a sleepy scientist was loved by the tiny scientist .
the big moose at a playground disliked a shy penguin .  a shy penguin was disliked by the big moose at a playground .
a sleepy model stalked a tiny crocodile near a playground .     a tiny crocodile near a playground was stalked by a sleepy model .
the happy researcher in the field kicked the small photographer .       the small photographer was kicked by the happy researcher in the field .
the rabbit ate the big researcher .     the big researcher was eaten by the rabbit .
the doctor kicked the happy photographer .      the happy photographer was kicked by the doctor .
a small girl hated the small photographer .     the small photographer was hated by a small girl .
a man hated a shy researcher .  a shy researcher was hated by a man .
a model bit the fish .  the fish was bitten by a model .
a small dog stalked the shy teacher .   the shy teacher was stalked by a small dog .
a silly duck bit the rabbit at a room . the rabbit at a room was bitten by a silly duck .
a big teacher hated the big cat .       the big cat was hated by a big teacher .
the happy bird by the school loved the curious bird .   the curious bird was loved by the happy bird by the school .
a big cat in the park kicked a happy scientist .        a happy scientist was kicked by a big cat in the park .
the big scientist at the playground kicked a silly woman .      a silly woman was kicked by the big scientist at the playground .
the small sheep loved the big rabbit .  the big rabbit was loved by the small sheep .
the scientist stalked a shy woman near the yard .       a shy woman near the yard was stalked by the scientist .
the chicken loved the silly boy in a market .   the silly boy in a market was loved by the chicken .
a big cow loved the fish .      the fish was loved by a big cow .
a big boy hunted the small scientist .  the small scientist was hunted by a big boy .
the small man hated a shy bear .        a shy bear was hated by the small man .
a shy fish at the barn tapped the goofy photographer .  the goofy photographer was tapped by a shy fish at the barn .
the sleepy cow complimented the tiny woman .    the tiny woman was complimented by the sleepy cow .
a researcher at a yard ate the silly bird .     the silly bird was eaten by a researcher at a yard .
the rabbit by the park tapped a silly student . a silly student was tapped by the rabbit by the park .
a shy sheep near a kitchen kicked the tiny woman .      the tiny woman was kicked by a shy sheep near a kitchen .
the shy bird tapped a sheep by the park .       a sheep by the park was tapped by the shy bird .
a bird by the stadium kicked a big chicken .    a big chicken was kicked by a bird by the stadium .
the big sheep stalked a happy student by a building .   a happy student by a building was stalked by the big sheep .
the silly sheep kicked the tiny moose . the tiny moose was kicked by the silly sheep .
a shy professor in a yard complimented a goofy moose .  a goofy moose was complimented by a shy professor in a yard .
a goofy man disliked a curious chicken .        a curious chicken was disliked by a goofy man .
a doctor hunted the big model . the big model was hunted by a doctor .
the big model by a building hunted a researcher .       a researcher was hunted by the big model by a building .
the boy stalked a big penguin . a big penguin was stalked by the boy .
a shy doctor complimented a shy photographer .  a shy photographer was complimented by a shy doctor .
the curious doctor kicked a big scientist in a barn .   a big scientist in a barn was kicked by the curious doctor .
a sleepy cat in the barn loved a shy man .      a shy man was loved by a sleepy cat in the barn .
the small teacher stalked the girl .    the girl was stalked by the small teacher .
the happy rabbit stalked the teacher .  the teacher was stalked by the happy rabbit .
a tiny doctor liked the small woman .   the small woman was liked by a tiny doctor .
a happy chicken complimented a small teacher at a house .       a small teacher at a house was complimented by a happy chicken .
the pig ate a goofy bear .      a goofy bear was eaten by the pig .
a happy student bit the curious model . the curious model was bitten by a happy student .
the happy professor at the market hunted a silly dog .  a silly dog was hunted by the happy professor at the market .
a tiny bird hunted a big scientist .    a big scientist was hunted by a tiny bird .
the student hunted the small chicken .  the small chicken was hunted by the student .
a crocodile hated the man .     the man was hated by a crocodile .
the goofy cat stalked the tiny model .  the tiny model was stalked by the goofy cat .
the tiny sheep kicked a cow .   a cow was kicked by the tiny sheep .
a small dog complimented a happy chicken .      a happy chicken was complimented by a small dog .
the small student by the playground hunted a curious model .    a curious model was hunted by the small student by the playground .
a cat bit the moose .   the moose was bitten by a cat .
a researcher bit a dog .        a dog was bitten by a researcher .
the curious bird loved the cat .        the cat was loved by the curious bird .
the curious bear near a stadium kicked a small penguin .        a small penguin was kicked by the curious bear near a stadium .
a professor tapped a sheep by a store . a sheep by a store was tapped by a professor .
the researcher stalked a dog near the barn .    a dog near the barn was stalked by the researcher .
the small photographer liked a small professor .        a small professor was liked by the small photographer .
the penguin complimented the big boy .  the big boy was complimented by the penguin .
a small girl hated the shy model .      the shy model was hated by a small girl .
a curious moose disliked a cow .        a cow was disliked by a curious moose .
a pig disliked the doctor by a yard .   the doctor by a yard was disliked by a pig .
the shy model near the school stalked a shy bear .      a shy bear was stalked by the shy model near the school .
the sleepy scientist tapped a model .   a model was tapped by the sleepy scientist .
the happy student liked the goofy chicken .     the goofy chicken was liked by the happy student .
the happy dog in the school bit the curious man .       the curious man was bitten by the happy dog in the school .
the curious student kicked the curious moose .  the curious moose was kicked by the curious student .
the duck ate a crocodile .      a crocodile was eaten by the duck .
the sleepy penguin disliked a silly researcher .        a silly researcher was disliked by the sleepy penguin .
a tiny professor tapped a happy model . a happy model was tapped by a tiny professor .
the silly researcher complimented the big duck near the mall .  the big duck near the mall was complimented by the silly researcher .
a rabbit hated the sheep .      the sheep was hated by a rabbit .
the big fish complimented a curious professor . a curious professor was complimented by the big fish .
the small moose loved a small sheep .   a small sheep was loved by the small moose .
a sleepy woman loved the silly rabbit . the silly rabbit was loved by a sleepy woman .
the curious bear bit a happy man .      a happy man was bitten by the curious bear .
the silly girl kicked a big dog .       a big dog was kicked by the silly girl .
the happy duck kicked the penguin .     the penguin was kicked by the happy duck .
the bird hated a curious model .        a curious model was hated by the bird .
the small bird bit a tiny dog . a tiny dog was bitten by the small bird .
a goofy teacher disliked the penguin at a house .       the penguin at a house was disliked by a goofy teacher .
a curious model stalked a pig . a pig was stalked by a curious model .
a goofy moose complimented the tiny woman .     the tiny woman was complimented by a goofy moose .
the curious sheep ate the big penguin . the big penguin was eaten by the curious sheep .
a silly fish hunted a shy penguin .     a shy penguin was hunted by a silly fish .
a sleepy girl ate a sleepy student near the stadium .   a sleepy student near the stadium was eaten by a sleepy girl .
a tiny scientist stalked the big crocodile .    the big crocodile was stalked by a tiny scientist .
the happy student disliked a bird near the playground . a bird near the playground was disliked by the happy student .
a curious teacher stalked the big bear at a house .     the big bear at a house was stalked by a curious teacher .
a goofy moose hated the curious model . the curious model was hated by a goofy moose .
the penguin near the school complimented the model .    the model was complimented by the penguin near the school .
the boy liked the happy girl .  the happy girl was liked by the boy .
the big boy stalked the model at the yard .     the model at the yard was stalked by the big boy .
the shy bird bit a sleepy chicken .     a sleepy chicken was bitten by the shy bird .
the sleepy researcher bit a man by a barn .     a man by a barn was bitten by the sleepy researcher .
the sleepy moose kicked the sleepy doctor .     the sleepy doctor was kicked by the sleepy moose .
the researcher stalked the student .    the student was stalked by the researcher .
the big moose by a house liked a sleepy bear .  a sleepy bear was liked by the big moose by a house .
a curious bird near the room kicked a sleepy researcher .       a sleepy researcher was kicked by a curious bird near the room .
the silly woman bit a big crocodile .   a big crocodile was bitten by the silly woman .
