the curious penguin was eaten by the curious chicken near the playground .      the curious chicken near the playground ate the curious penguin .
a big penguin was complimented by a cow in the stadium .        a cow in the stadium complimented a big penguin .
a goofy rabbit was stalked by a goofy fish at a barn .  a goofy fish at a barn stalked a goofy rabbit .
a big fish by a field was hated by the happy pig .      the happy pig hated a big fish by a field .
the cow was hated by a teacher .        a teacher hated the cow .
a bear was disliked by the happy student .      the happy student disliked a bear .
a doctor was complimented by the tiny researcher near the supermarket . the tiny researcher near the supermarket complimented a doctor .
a crocodile was hunted by the shy sheep .       the shy sheep hunted a crocodile .
the goofy cow was tapped by a happy rabbit .    a happy rabbit tapped the goofy cow .
the curious teacher was stalked by a fish .     a fish stalked the curious teacher .
the cow was kicked by a curious rabbit .        a curious rabbit kicked the cow .
a sleepy scientist was loved by the tiny scientist .    the tiny scientist loved a sleepy scientist .
a shy penguin was disliked by the big moose at a playground .   the big moose at a playground disliked a shy penguin .
a tiny crocodile near a playground was stalked by a sleepy model .      a sleepy model stalked a tiny crocodile near a playground .
the small photographer was kicked by the happy researcher in the field .        the happy researcher in the field kicked the small photographer .
the big researcher was eaten by the rabbit .    the rabbit ate the big researcher .
the happy photographer was kicked by the doctor .       the doctor kicked the happy photographer .
the small photographer was hated by a small girl .      a small girl hated the small photographer .
a shy researcher was hated by a man .   a man hated a shy researcher .
the fish was bitten by a model .        a model bit the fish .
the shy teacher was stalked by a small dog .    a small dog stalked the shy teacher .
the rabbit at a room was bitten by a silly duck .       a silly duck bit the rabbit at a room .
the big cat was hated by a big teacher .        a big teacher hated the big cat .
the curious bird was loved by the happy bird by the school .    the happy bird by the school loved the curious bird .
a happy scientist was kicked by a big cat in the park . a big cat in the park kicked a happy scientist .
a silly woman was kicked by the big scientist at the playground .       the big scientist at the playground kicked a silly woman .
the big rabbit was loved by the small sheep .   the small sheep loved the big rabbit .
a shy woman near the yard was stalked by the scientist .        the scientist stalked a shy woman near the yard .
the silly boy in a market was loved by the chicken .    the chicken loved the silly boy in a market .
the fish was loved by a big cow .       a big cow loved the fish .
the small scientist was hunted by a big boy .   a big boy hunted the small scientist .
a shy bear was hated by the small man . the small man hated a shy bear .
the goofy photographer was tapped by a shy fish at the barn .   a shy fish at the barn tapped the goofy photographer .
the tiny woman was complimented by the sleepy cow .     the sleepy cow complimented the tiny woman .
the silly bird was eaten by a researcher at a yard .    a researcher at a yard ate the silly bird .
a silly student was tapped by the rabbit by the park .  the rabbit by the park tapped a silly student .
the tiny woman was kicked by a shy sheep near a kitchen .       a shy sheep near a kitchen kicked the tiny woman .
a sheep by the park was tapped by the shy bird .        the shy bird tapped a sheep by the park .
a big chicken was kicked by a bird by the stadium .     a bird by the stadium kicked a big chicken .
a happy student by a building was stalked by the big sheep .    the big sheep stalked a happy student by a building .
the tiny moose was kicked by the silly sheep .  the silly sheep kicked the tiny moose .
a goofy moose was complimented by a shy professor in a yard .   a shy professor in a yard complimented a goofy moose .
a curious chicken was disliked by a goofy man . a goofy man disliked a curious chicken .
the big model was hunted by a doctor .  a doctor hunted the big model .
a researcher was hunted by the big model by a building .        the big model by a building hunted a researcher .
a big penguin was stalked by the boy .  the boy stalked a big penguin .
a shy photographer was complimented by a shy doctor .   a shy doctor complimented a shy photographer .
a big scientist in a barn was kicked by the curious doctor .    the curious doctor kicked a big scientist in a barn .
a shy man was loved by a sleepy cat in the barn .       a sleepy cat in the barn loved a shy man .
the girl was stalked by the small teacher .     the small teacher stalked the girl .
the teacher was stalked by the happy rabbit .   the happy rabbit stalked the teacher .
the small woman was liked by a tiny doctor .    a tiny doctor liked the small woman .
a small teacher at a house was complimented by a happy chicken .        a happy chicken complimented a small teacher at a house .
a goofy bear was eaten by the pig .     the pig ate a goofy bear .
the curious model was bitten by a happy student .       a happy student bit the curious model .
a silly dog was hunted by the happy professor at the market .   the happy professor at the market hunted a silly dog .
a big scientist was hunted by a tiny bird .     a tiny bird hunted a big scientist .
the small chicken was hunted by the student .   the student hunted the small chicken .
the man was hated by a crocodile .      a crocodile hated the man .
the tiny model was stalked by the goofy cat .   the goofy cat stalked the tiny model .
a cow was kicked by the tiny sheep .    the tiny sheep kicked a cow .
a happy chicken was complimented by a small dog .       a small dog complimented a happy chicken .
a curious model was hunted by the small student by the playground .     the small student by the playground hunted a curious model .
the moose was bitten by a cat . a cat bit the moose .
a dog was bitten by a researcher .      a researcher bit a dog .
the cat was loved by the curious bird . the curious bird loved the cat .
a small penguin was kicked by the curious bear near a stadium . the curious bear near a stadium kicked a small penguin .
a sheep by a store was tapped by a professor .  a professor tapped a sheep by a store .
